Title,Year,Ratings
"<h3 class=""ipc-title__text"">1. The Shawshank Redemption</h3>","1994,2h 22m,R,9.3, (,2.9M,),Rate",9.3
"<h3 class=""ipc-title__text"">2. The Godfather</h3>","1972,2h 55m,R,9.2, (,2M,),Rate",9.2
"<h3 class=""ipc-title__text"">3. The Dark Knight</h3>","2008,2h 32m,PG-13,9.0, (,2.8M,),Rate",9
"<h3 class=""ipc-title__text"">4. The Godfather Part II</h3>","1974,3h 22m,R,9.0, (,1.4M,),Rate",9
"<h3 class=""ipc-title__text"">5. 12 Angry Men</h3>","1957,1h 36m,Approved,9.0, (,855K,),Rate",9
"<h3 class=""ipc-title__text"">6. Schindler's List</h3>","1993,3h 15m,R,9.0, (,1.4M,),Rate",9
"<h3 class=""ipc-title__text"">7. The Lord of the Rings: The Return of the King</h3>","2003,3h 21m,PG-13,9.0, (,2M,),Rate",9
"<h3 class=""ipc-title__text"">8. Pulp Fiction</h3>","1994,2h 34m,R,8.9, (,2.2M,),Rate",8.9
"<h3 class=""ipc-title__text"">9. The Lord of the Rings: The Fellowship of the Ring</h3>","2001,2h 58m,PG-13,8.9, (,2M,),Rate",8.9
"<h3 class=""ipc-title__text"">10. The Good, the Bad and the Ugly</h3>","1966,2h 58m,Approved,8.8, (,805K,),Rate",8.8
"<h3 class=""ipc-title__text"">11. Forrest Gump</h3>","1994,2h 22m,PG-13,8.8, (,2.2M,),Rate",8.8
"<h3 class=""ipc-title__text"">12. The Lord of the Rings: The Two Towers</h3>","2002,2h 59m,PG-13,8.8, (,1.8M,),Rate",8.8
"<h3 class=""ipc-title__text"">13. Fight Club</h3>","1999,2h 19m,R,8.8, (,2.3M,),Rate",8.8
"<h3 class=""ipc-title__text"">14. Inception</h3>","2010,2h 28m,PG-13,8.8, (,2.5M,),Rate",8.8
"<h3 class=""ipc-title__text"">15. Star Wars: Episode V - The Empire Strikes Back</h3>","1980,2h 4m,PG,8.7, (,1.4M,),Rate",8.7
"<h3 class=""ipc-title__text"">16. The Matrix</h3>","1999,2h 16m,R,8.7, (,2M,),Rate",8.7
"<h3 class=""ipc-title__text"">17. Goodfellas</h3>","1990,2h 25m,R,8.7, (,1.2M,),Rate",8.7
"<h3 class=""ipc-title__text"">18. One Flew Over the Cuckoo's Nest</h3>","1975,2h 13m,R,8.7, (,1.1M,),Rate",8.7
"<h3 class=""ipc-title__text"">19. Se7en</h3>","1995,2h 7m,R,8.6, (,1.8M,),Rate",8.6
"<h3 class=""ipc-title__text"">20. It's a Wonderful Life</h3>","1946,2h 10m,PG,8.6, (,496K,),Rate",8.6
"<h3 class=""ipc-title__text"">21. Interstellar</h3>","2014,2h 49m,PG-13,8.7, (,2.1M,),Rate",8.7
"<h3 class=""ipc-title__text"">22. Seven Samurai</h3>","1954,3h 27m,Not Rated,8.6, (,364K,),Rate",8.6
"<h3 class=""ipc-title__text"">23. The Silence of the Lambs</h3>","1991,1h 58m,R,8.6, (,1.5M,),Rate",8.6
"<h3 class=""ipc-title__text"">24. Saving Private Ryan</h3>","1998,2h 49m,R,8.6, (,1.5M,),Rate",8.6
"<h3 class=""ipc-title__text"">25. City of God</h3>","2002,2h 10m,R,8.6, (,795K,),Rate",8.6
"<h3 class=""ipc-title__text"">26. Life Is Beautiful</h3>","1997,1h 56m,PG-13,8.6, (,738K,),Rate",8.6
"<h3 class=""ipc-title__text"">27. The Green Mile</h3>","1999,3h 9m,R,8.6, (,1.4M,),Rate",8.6
"<h3 class=""ipc-title__text"">28. Terminator 2: Judgment Day</h3>","1991,2h 17m,R,8.6, (,1.2M,),Rate",8.6
"<h3 class=""ipc-title__text"">29. Star Wars: Episode IV - A New Hope</h3>","1977,2h 1m,PG,8.6, (,1.4M,),Rate",8.6
"<h3 class=""ipc-title__text"">30. Back to the Future</h3>","1985,1h 56m,PG,8.5, (,1.3M,),Rate",8.5
"<h3 class=""ipc-title__text"">31. Spirited Away</h3>","2001,2h 5m,PG,8.6, (,839K,),Rate",8.6
"<h3 class=""ipc-title__text"">32. The Pianist</h3>","2002,2h 30m,R,8.5, (,903K,),Rate",8.5
"<h3 class=""ipc-title__text"">33. Spider-Man: Across the Spider-Verse</h3>","2023,2h 20m,PG,8.6, (,350K,),Rate",8.6
"<h3 class=""ipc-title__text"">34. Parasite</h3>","2019,2h 12m,R,8.5, (,940K,),Rate",8.5
"<h3 class=""ipc-title__text"">35. Psycho</h3>","1960,1h 49m,R,8.5, (,713K,),Rate",8.5
"<h3 class=""ipc-title__text"">36. Gladiator</h3>","2000,2h 35m,R,8.5, (,1.6M,),Rate",8.5
"<h3 class=""ipc-title__text"">37. The Lion King</h3>","1994,1h 28m,G,8.5, (,1.1M,),Rate",8.5
